candidate_id,rank,score,reasoning
CAND_0077337,1,898.46,"Staff Machine Learning Engineer with 7.0 years in Kochi, Kerala; key relevant skills include Semantic Search, pgvector, Pinecone, BM25. Career evidence includes Staff Machine Learning Engineer at Paytm and Senior NLP Engineer at Razorpay; open to work, response rate 0.95, notice period 60 days."
CAND_0081846,2,779.24,"Lead AI Engineer with 6.7 years in Jaipur, Rajasthan; key relevant skills include Information Retrieval, pgvector, Learning to Rank, Elasticsearch. Career evidence includes Lead AI Engineer at Razorpay and Senior Machine Learning Engineer at Paytm; open to work, response rate 0.73, notice period 30 days."
CAND_0018499,3,754.0,"Senior Machine Learning Engineer with 7.2 years in Noida, Uttar Pradesh; key relevant skills include Weaviate, Recommendation Systems, Pinecone, Information Retrieval. Career evidence includes Senior Machine Learning Engineer at Zomato and Staff Machine Learning Engineer at Google; open to work, response rate 0.61, notice period 15 days."
CAND_0071974,4,732.3,"Senior AI Engineer with 7.8 years in Vizag, Andhra Pradesh; key relevant skills include Learning to Rank, Weaviate, BM25, Pinecone. Career evidence includes Senior AI Engineer at Netflix and Staff Machine Learning Engineer at Meta; open to work, response rate 0.76, notice period 45 days."
CAND_0046064,5,667.4,"Senior NLP Engineer with 8.9 years in Coimbatore, Tamil Nadu; key relevant skills include Python, Pinecone, BM25, OpenSearch. Career evidence includes Senior NLP Engineer at Salesforce and Lead AI Engineer at Verloop.io; open to work, response rate 0.78, notice period 30 days."
CAND_0008425,6,665.46,"Senior NLP Engineer with 7.8 years in Kolkata, West Bengal; key relevant skills include Learning to Rank, Qdrant, pgvector, Sentence Transformers. Career evidence includes Senior NLP Engineer at Ola and Senior ML Engineer — Search & Ranking at Zomato; open to work, response rate 0.66, notice period 90 days."
CAND_0046525,7,652.38,"Senior Machine Learning Engineer with 6.1 years in Pune, Maharashtra; key relevant skills include Elasticsearch, Information Retrieval, LLMs, NLP. Career evidence includes Senior Machine Learning Engineer at LinkedIn; open to work, response rate 0.88, notice period 60 days."
CAND_0086022,8,638.2,"Senior Applied Scientist with 5.3 years in Kolkata, West Bengal; key relevant skills include Vector Search, Recommendation Systems, pgvector, Fine-tuning LLMs. Career evidence includes Senior Applied Scientist at Sarvam AI; open to work, response rate 0.55, notice period 0 days."
CAND_0088025,9,636.58,"Staff Machine Learning Engineer with 8.6 years in Jaipur, Rajasthan; key relevant skills include Pinecone, LLMs, RAG, BM25. Career evidence includes Staff Machine Learning Engineer at Yellow.ai and Staff Machine Learning Engineer at Niramai; open to work, response rate 0.83, notice period 90 days."
CAND_0002025,10,621.7,"Senior AI Engineer with 5.9 years in Trivandrum, Kerala; key relevant skills include FAISS, OpenSearch, Weaviate, Sentence Transformers. Career evidence includes Senior AI Engineer at Apple and Lead AI Engineer at Aganitha; open to work, response rate 0.80, notice period 30 days."
CAND_0041669,11,554.26,"Recommendation Systems Engineer with 8.0 years in Noida, Uttar Pradesh; key relevant skills include FAISS, Milvus, Semantic Search, Weaviate. Career evidence includes Recommendation Systems Engineer at CRED and NLP Engineer at Yellow.ai; open to work, response rate 0.77, notice period 60 days."
CAND_0065878,12,552.26,"Senior Data Scientist with 7.8 years in Trivandrum, Kerala; key relevant skills include RAG, pgvector, Vector Search, Fine-tuning LLMs. Career evidence includes Senior Data Scientist at Niramai and NLP Engineer at Uber; open to work, response rate 0.48, notice period 15 days."
CAND_0068811,13,547.94,"Applied ML Engineer with 8.0 years in Pune, Maharashtra; key relevant skills include Vector Search, Qdrant, Embeddings, pgvector. Career evidence includes Applied ML Engineer at Freshworks and Recommendation Systems Engineer at Meesho; open to work, response rate 0.42, notice period 30 days."
CAND_0079387,14,544.6,"AI Engineer with 6.9 years in Trivandrum, Kerala; key relevant skills include Recommendation Systems, Python, Sentence Transformers, Vector Search. Career evidence includes AI Engineer at Microsoft and AI Engineer at BYJU'S; open to work, response rate 0.81, notice period 30 days."
CAND_0011162,15,544.28,"Recommendation Systems Engineer with 5.8 years in Coimbatore, Tamil Nadu; key relevant skills include FAISS, Vector Search, Milvus, OpenSearch. Career evidence includes Recommendation Systems Engineer at upGrad and Machine Learning Engineer at Google; open to work, response rate 0.75, notice period 90 days."
CAND_0050454,16,540.72,"AI Engineer with 6.8 years in Delhi, Delhi; key relevant skills include Fine-tuning LLMs, FAISS, Qdrant, BM25. Career evidence includes AI Engineer at Rephrase.ai and Machine Learning Engineer at Uber; open to work, response rate 0.77, notice period 30 days."
CAND_0011687,17,539.82,"Senior NLP Engineer with 7.8 years in Indore, Madhya Pradesh; key relevant skills include OpenSearch, FAISS, Embeddings, Weaviate. Career evidence includes Senior NLP Engineer at Niramai and Senior Machine Learning Engineer at Krutrim; open to work, response rate 0.89, notice period 15 days."
CAND_0009691,18,537.22,"Applied ML Engineer with 6.2 years in Indore, Madhya Pradesh; key relevant skills include Recommendation Systems, Fine-tuning LLMs, Pinecone, Sentence Transformers. Career evidence includes Applied ML Engineer at LinkedIn and AI Engineer at Amazon; open to work, response rate 0.64, notice period 120 days."
CAND_0007009,19,534.58,"Recommendation Systems Engineer with 7.9 years in Noida, Uttar Pradesh; key relevant skills include Weaviate, Python, Embeddings, Learning to Rank. Career evidence includes Recommendation Systems Engineer at Netflix; open to work, response rate 0.62, notice period 30 days."
CAND_0050876,20,533.3,"Applied ML Engineer with 6.0 years in Kolkata, West Bengal; key relevant skills include Qdrant, FAISS, OpenSearch, Sentence Transformers. Career evidence includes Applied ML Engineer at Freshworks and AI Engineer at Yellow.ai; open to work, response rate 0.67, notice period 90 days."
CAND_0027691,21,526.86,"NLP Engineer with 6.5 years in Pune, Maharashtra; key relevant skills include Recommendation Systems, Weaviate, Embeddings, Learning to Rank. Career evidence includes Applied ML Engineer at Vedantu and AI Engineer at Meta; open to work, response rate 0.68, notice period 15 days."
CAND_0086151,22,520.4,"Recommendation Systems Engineer with 7.7 years in Vizag, Andhra Pradesh; key relevant skills include Recommendation Systems, Qdrant, OpenSearch, Embeddings. Career evidence includes Recommendation Systems Engineer at Wysa and Search Engineer at Glance; open to work, response rate 0.52, notice period 120 days."
CAND_0005260,23,516.3,"Senior NLP Engineer with 5.2 years in Chennai, Tamil Nadu; key relevant skills include Information Retrieval, Semantic Search, Python, NLP. Career evidence includes Senior NLP Engineer at Netflix and Senior NLP Engineer at Yellow.ai; not marked open to work, response rate 0.86, notice period 60 days."
CAND_0083307,24,510.02,"Search Engineer with 7.8 years in Vizag, Andhra Pradesh; key relevant skills include Embeddings, Pinecone, Weaviate, Semantic Search. Career evidence includes Machine Learning Engineer at Netflix and Machine Learning Engineer at Ola; open to work, response rate 0.70, notice period 120 days."
CAND_0051292,25,507.36,"Applied ML Engineer with 5.2 years in Trivandrum, Kerala; key relevant skills include pgvector, FAISS, LLMs, Vector Search. Career evidence includes Applied ML Engineer at Freshworks and Search Engineer at Vedantu; open to work, response rate 0.52, notice period 30 days."
CAND_0095528,26,506.94,"Senior Data Scientist with 5.3 years in Indore, Madhya Pradesh; key relevant skills include OpenSearch, Semantic Search, Vector Search, pgvector. Career evidence includes Senior Data Scientist at Netflix; open to work, response rate 0.55, notice period 45 days."
CAND_0000031,27,499.32,"Recommendation Systems Engineer with 6.0 years in Hyderabad, Telangana; key relevant skills include FAISS, Pinecone, Embeddings, Information Retrieval. Career evidence includes Recommendation Systems Engineer at Swiggy and Search Engineer at Mad Street Den; open to work, response rate 0.91, notice period 60 days."
CAND_0041610,28,494.4,"Recommendation Systems Engineer with 6.7 years in Indore, Madhya Pradesh; key relevant skills include Elasticsearch, OpenSearch, BM25, Learning to Rank. Career evidence includes Recommendation Systems Engineer at Zoho and Machine Learning Engineer at Swiggy; open to work, response rate 0.52, notice period 30 days."
CAND_0018549,29,492.18,"Recommendation Systems Engineer with 6.8 years in Coimbatore, Tamil Nadu; key relevant skills include Weaviate, Elasticsearch, Qdrant, Milvus. Career evidence includes Recommendation Systems Engineer at Uber and Machine Learning Engineer at Flipkart; open to work, response rate 0.73, notice period 60 days."
CAND_0066376,30,491.82,"Applied ML Engineer with 5.7 years in Mumbai, Maharashtra; key relevant skills include Recommendation Systems, Learning to Rank, LLMs, Fine-tuning LLMs. Career evidence includes Applied ML Engineer at Dream11 and Senior Data Scientist at Salesforce; open to work, response rate 0.51, notice period 90 days."
CAND_0080766,31,491.0,"Staff Machine Learning Engineer with 8.8 years in Coimbatore, Tamil Nadu; key relevant skills include Information Retrieval Systems, Elasticsearch, OpenSearch, Python. Career evidence includes Staff Machine Learning Engineer at Aganitha and Lead AI Engineer at Swiggy; not marked open to work, response rate 0.66, notice period 0 days."
CAND_0075249,32,485.9,"Applied ML Engineer with 6.2 years in Ahmedabad, Gujarat; key relevant skills include Sentence Transformers, Milvus, Fine-tuning LLMs, BM25. Career evidence includes Applied ML Engineer at Zomato and Search Engineer at upGrad; open to work, response rate 0.82, notice period 45 days."
CAND_0053695,33,483.3,"Recommendation Systems Engineer with 5.8 years in Bhubaneswar, Odisha; key relevant skills include Pinecone, Recommendation Systems, pgvector, Embeddings. Career evidence includes Recommendation Systems Engineer at Meesho and Machine Learning Engineer at Genpact AI; open to work, response rate 0.60, notice period 15 days."
CAND_0064326,34,480.2,"Search Engineer with 7.6 years in Gurgaon, Haryana; key relevant skills include Milvus, Semantic Search, Weaviate, RAG. Career evidence includes Search Engineer at Sarvam AI and Machine Learning Engineer at Aganitha; open to work, response rate 0.94, notice period 45 days."
CAND_0062247,35,478.92,"AI Engineer with 7.3 years in Kochi, Kerala; key relevant skills include Pinecone, Vector Search, Qdrant, RAG. Career evidence includes AI Engineer at Google and NLP Engineer at Dream11; open to work, response rate 0.78, notice period 30 days."
CAND_0087630,36,478.0,"AI Engineer with 7.2 years in Gurgaon, Haryana; key relevant skills include Elasticsearch, pgvector, NLP, Learning to Rank. Career evidence includes AI Engineer at Vedantu and Applied ML Engineer at Haptik; not marked open to work, response rate 0.45, notice period 30 days."
CAND_0093912,37,476.96,"Senior Data Scientist with 5.3 years in Chandigarh, Chandigarh; key relevant skills include Milvus, Embeddings, Recommendation Systems, Vector Search. Career evidence includes Senior Data Scientist at Razorpay and Search Engineer at Flipkart; open to work, response rate 0.66, notice period 30 days."
CAND_0009024,38,476.8,"Search Engineer with 5.2 years in Chennai, Tamil Nadu; key relevant skills include Qdrant, FAISS, Recommendation Systems, OpenSearch. Career evidence includes Search Engineer at Google and Applied ML Engineer at Aganitha; open to work, response rate 0.46, notice period 30 days."
CAND_0042506,39,473.6,"Search Engineer with 4.2 years in Mumbai, Maharashtra; key relevant skills include Semantic Search, Fine-tuning LLMs, Information Retrieval, Milvus. Career evidence includes Machine Learning Engineer at Meesho; open to work, response rate 0.48, notice period 15 days."
CAND_0093547,40,470.82,"Senior Machine Learning Engineer with 2.9 years in Coimbatore, Tamil Nadu; key relevant skills include LLMs, RAG, Python, Milvus. Career evidence includes Senior Machine Learning Engineer at PhonePe and Senior Machine Learning Engineer at Sarvam AI; not marked open to work, response rate 0.75, notice period 60 days."
CAND_0006557,41,468.42,"NLP Engineer with 7.9 years in Jaipur, Rajasthan; key relevant skills include Elasticsearch, OpenSearch, Vector Search, Weaviate. Career evidence includes NLP Engineer at Paytm and Recommendation Systems Engineer at Apple; open to work, response rate 0.63, notice period 120 days."
CAND_0091909,42,464.32,"Machine Learning Engineer with 6.9 years in Bangalore, Karnataka; key relevant skills include LLMs, Pinecone, Qdrant, OpenSearch. Career evidence includes Machine Learning Engineer at Rephrase.ai and NLP Engineer at Meta; open to work, response rate 0.65, notice period 45 days."
CAND_0070398,43,460.36,"Machine Learning Engineer with 7.2 years in Kochi, Kerala; key relevant skills include BM25, RAG, FAISS, Embeddings. Career evidence includes Machine Learning Engineer at Genpact AI and Applied ML Engineer at Uber; open to work, response rate 0.60, notice period 120 days."
CAND_0026532,44,457.28,"Recommendation Systems Engineer with 4.8 years in Chennai, Tamil Nadu; key relevant skills include pgvector, Embeddings, Semantic Search, Information Retrieval. Career evidence includes Recommendation Systems Engineer at Zomato and Recommendation Systems Engineer at Mad Street Den; open to work, response rate 0.52, notice period 90 days."
CAND_0066999,45,454.26,"Recommendation Systems Engineer with 5.9 years in Delhi, Delhi; key relevant skills include OpenSearch, FAISS, LLMs, Pinecone. Career evidence includes Recommendation Systems Engineer at Microsoft; open to work, response rate 0.63, notice period 15 days."
CAND_0001610,46,449.72,"Machine Learning Engineer with 3.0 years in Trivandrum, Kerala; key relevant skills include Pinecone, Fine-tuning LLMs, Milvus, Sentence Transformers. Career evidence includes Machine Learning Engineer at Dream11 and Senior Data Scientist at Flipkart; open to work, response rate 0.57, notice period 90 days."
CAND_0005649,47,447.96,"Senior Data Scientist with 7.4 years in Delhi, Delhi; key relevant skills include Fine-tuning LLMs, Recommendation Systems, Semantic Search, Weaviate. Career evidence includes Senior Data Scientist at Sarvam AI and Search Engineer at Glance; open to work, response rate 0.57, notice period 90 days."
CAND_0078492,48,441.34,"Recommendation Systems Engineer with 5.1 years in Kochi, Kerala; key relevant skills include FAISS, Recommendation Systems, BM25, Qdrant. Career evidence includes Recommendation Systems Engineer at Verloop.io and Senior Data Scientist at Adobe; open to work, response rate 0.70, notice period 30 days."
CAND_0081053,49,439.34,"NLP Engineer with 5.4 years in Chandigarh, Chandigarh; key relevant skills include Qdrant, Learning to Rank, pgvector, Semantic Search. Career evidence includes Machine Learning Engineer at Salesforce; open to work, response rate 0.83, notice period 90 days."
CAND_0033861,50,436.46,"Senior NLP Engineer with 8.0 years in Vizag, Andhra Pradesh; key relevant skills include Weaviate, LLMs, Elasticsearch, Pinecone. Career evidence includes Senior NLP Engineer at Mad Street Den and Senior NLP Engineer at Sarvam AI; not marked open to work, response rate 0.16, notice period 30 days."
CAND_0044855,51,435.8,"Senior Data Scientist with 6.6 years in Coimbatore, Tamil Nadu; key relevant skills include Learning to Rank, OpenSearch, Information Retrieval, Pinecone. Career evidence includes Recommendation Systems Engineer at LinkedIn and Machine Learning Engineer at Verloop.io; not marked open to work, response rate 0.57, notice period 60 days."
CAND_0075574,52,432.36,"Machine Learning Engineer with 5.7 years in Bangalore, Karnataka; key relevant skills include pgvector, Weaviate, Recommendation Systems, OpenSearch. Career evidence includes Machine Learning Engineer at Haptik and Machine Learning Engineer at Observe.AI; open to work, response rate 0.58, notice period 60 days."
CAND_0014440,53,429.84,"Recommendation Systems Engineer with 6.4 years in Chennai, Tamil Nadu; key relevant skills include Elasticsearch, Milvus, FAISS, Qdrant. Career evidence includes Recommendation Systems Engineer at CRED and NLP Engineer at Freshworks; open to work, response rate 0.64, notice period 60 days."
CAND_0052328,54,428.66,"Recommendation Systems Engineer with 6.5 years in Pune, Maharashtra; key relevant skills include OpenSearch, Recommendation Systems, Learning to Rank, Fine-tuning LLMs. Career evidence is more adjacent than directly search/ranking focused; open to work, response rate 0.79, notice period 30 days."
CAND_0055905,55,428.14,"Senior Machine Learning Engineer with 8.1 years in London; key relevant skills include Elasticsearch, Python, LLMs, OpenSearch. Career evidence includes Senior Machine Learning Engineer at Flipkart and Senior AI Engineer at Uber; open to work, response rate 0.87, notice period 30 days."
CAND_0036184,56,427.72,"Recommendation Systems Engineer with 6.0 years in Trivandrum, Kerala; key relevant skills include FAISS, Semantic Search, Embeddings, Vector Search. Career evidence includes Recommendation Systems Engineer at CRED and AI Engineer at PolicyBazaar; open to work, response rate 0.90, notice period 30 days."
CAND_0061265,57,427.22,"Recommendation Systems Engineer with 6.6 years in Delhi, Delhi; key relevant skills include Qdrant, Learning to Rank, Vector Search, Embeddings. Career evidence includes Recommendation Systems Engineer at Zoho and Senior Data Scientist at Paytm; open to work, response rate 0.94, notice period 120 days."
CAND_0077285,58,426.22,"Recommendation Systems Engineer with 5.5 years in Ahmedabad, Gujarat; key relevant skills include Pinecone, Sentence Transformers, Embeddings, Information Retrieval. Career evidence includes Recommendation Systems Engineer at Nykaa; open to work, response rate 0.56, notice period 60 days."
CAND_0076163,59,425.04,"NLP Engineer with 6.9 years in Chandigarh, Chandigarh; key relevant skills include Weaviate, BM25, Semantic Search, Sentence Transformers. Career evidence includes NLP Engineer at Ola and NLP Engineer at Zoho; open to work, response rate 0.84, notice period 60 days."
CAND_0039383,60,423.14,"Applied ML Engineer with 7.1 years in Gurgaon, Haryana; key relevant skills include FAISS, Recommendation Systems, NLP, Vector Search. Career evidence includes Applied ML Engineer at Meesho and Machine Learning Engineer at Swiggy; open to work, response rate 0.61, notice period 90 days."
CAND_0031593,61,421.66,"Search Engineer with 7.8 years in Kolkata, West Bengal; key relevant skills include Recommendation Systems, BM25, Embeddings, Elasticsearch. Career evidence includes Search Engineer at Genpact AI and Search Engineer at Aganitha; open to work, response rate 0.58, notice period 90 days."
CAND_0030348,62,418.38,"Machine Learning Engineer with 4.5 years in Noida, Uttar Pradesh; key relevant skills include Embeddings, Vector Search, Elasticsearch, pgvector. Career evidence includes Machine Learning Engineer at BYJU'S and Senior Data Scientist at PolicyBazaar; open to work, response rate 0.54, notice period 45 days."
CAND_0064904,63,417.46,"AI Engineer with 4.9 years in Hyderabad, Telangana; key relevant skills include Embeddings, Elasticsearch, LLMs, Python. Career evidence includes Applied ML Engineer at Freshworks; open to work, response rate 0.78, notice period 90 days."
CAND_0052682,64,417.28,"NLP Engineer with 6.6 years in Vizag, Andhra Pradesh; key relevant skills include Semantic Search, FAISS, LLMs, Python. Career evidence includes NLP Engineer at Aganitha; open to work, response rate 0.88, notice period 30 days."
CAND_0037980,65,417.26,"Senior Applied Scientist with 9.0 years in Kolkata, West Bengal; key relevant skills include NLP, BM25, pgvector, Information Retrieval Systems. Career evidence includes Senior Applied Scientist at Niramai and Senior ML Engineer — Search & Ranking at Verloop.io; open to work, response rate 0.63, notice period 0 days."
CAND_0010257,66,414.88,"Senior Data Scientist with 6.5 years in Noida, Uttar Pradesh; key relevant skills include Milvus, Python, OpenSearch, Qdrant. Career evidence includes Search Engineer at PharmEasy and Senior Data Scientist at Google; open to work, response rate 0.72, notice period 120 days."
CAND_0008239,67,413.66,"AI Engineer with 4.0 years in Jaipur, Rajasthan; key relevant skills include Milvus, Semantic Search, Elasticsearch, Weaviate. Career evidence includes AI Engineer at Apple; open to work, response rate 0.73, notice period 15 days."
CAND_0029367,68,413.44,"Senior Data Scientist with 5.7 years in Bangalore, Karnataka; key relevant skills include FAISS, Sentence Transformers, RAG, NLP. Career evidence includes Senior Data Scientist at Rephrase.ai and Applied ML Engineer at CRED; open to work, response rate 0.77, notice period 90 days."
CAND_0069905,69,413.3,"Applied ML Engineer with 6.6 years in Bhubaneswar, Odisha; key relevant skills include Recommendation Systems, Sentence Transformers, Python, Weaviate. Career evidence includes Applied ML Engineer at Sarvam AI and Recommendation Systems Engineer at Observe.AI; open to work, response rate 0.78, notice period 90 days."
CAND_0049538,70,410.78,"Applied ML Engineer with 5.8 years in Jaipur, Rajasthan; key relevant skills include Learning to Rank, OpenSearch, Vector Search, Milvus. Career evidence includes Applied ML Engineer at Saarthi.ai; not marked open to work, response rate 0.72, notice period 30 days."
CAND_0098846,71,410.2,"AI Engineer with 7.6 years in Indore, Madhya Pradesh; key relevant skills include Qdrant, Recommendation Systems. Career evidence includes AI Engineer at upGrad; open to work, response rate 0.62, notice period 45 days."
CAND_0017960,72,408.8,"Recommendation Systems Engineer with 7.7 years in Bangalore, Karnataka; key relevant skills include Qdrant, Python, Information Retrieval. Career evidence includes Recommendation Systems Engineer at Nykaa and NLP Engineer at Wysa; open to work, response rate 0.72, notice period 60 days."
CAND_0010685,73,406.94,"NLP Engineer with 6.7 years in Kolkata, West Bengal; key relevant skills include Information Retrieval, Elasticsearch, RAG. Career evidence includes NLP Engineer at Rephrase.ai and Machine Learning Engineer at Mad Street Den; open to work, response rate 0.83, notice period 30 days."
CAND_0057563,74,406.34,"NLP Engineer with 6.8 years in Indore, Madhya Pradesh; key relevant skills include RAG, Elasticsearch, OpenSearch. Career evidence includes NLP Engineer at Locobuzz and Machine Learning Engineer at Yellow.ai; not marked open to work, response rate 0.83, notice period 60 days."
CAND_0076251,75,404.18,"Search Engineer with 7.6 years in Bhubaneswar, Odisha; key relevant skills include Fine-tuning LLMs, Weaviate, LLMs, Learning to Rank. Career evidence includes Search Engineer at Haptik; open to work, response rate 0.51, notice period 60 days."
CAND_0051615,76,403.58,"Search Engineer with 4.6 years in Coimbatore, Tamil Nadu; key relevant skills include RAG, Milvus, Sentence Transformers, Fine-tuning LLMs. Career evidence includes Search Engineer at Meta and Search Engineer at Krutrim; open to work, response rate 0.88, notice period 60 days."
CAND_0030953,77,402.64,"Search Engineer with 7.8 years in Chennai, Tamil Nadu; key relevant skills include Learning to Rank, Qdrant, Python, pgvector. Career evidence includes Search Engineer at Nykaa and NLP Engineer at Niramai; not marked open to work, response rate 0.63, notice period 45 days."
CAND_0030468,78,400.76,"Senior Applied Scientist with 5.4 years in Indore, Madhya Pradesh; key relevant skills include Information Retrieval Systems, OpenSearch, Milvus, Recommendation Systems. Career evidence includes Senior Applied Scientist at Swiggy; open to work, response rate 0.78, notice period 45 days."
CAND_0054394,79,400.06,"Recommendation Systems Engineer with 4.1 years in Pune, Maharashtra; key relevant skills include Fine-tuning LLMs, Embeddings, Pinecone. Career evidence includes Recommendation Systems Engineer at PharmEasy and NLP Engineer at Netflix; open to work, response rate 0.64, notice period 30 days."
CAND_0039838,80,398.62,"Recommendation Systems Engineer with 4.9 years in Kochi, Kerala; key relevant skills include Embeddings, Semantic Search, RAG, Milvus. Career evidence includes NLP Engineer at Microsoft; open to work, response rate 0.80, notice period 90 days."
CAND_0022812,81,398.32,"Applied ML Engineer with 4.5 years in Coimbatore, Tamil Nadu; key relevant skills include Weaviate, Pinecone, Qdrant, NLP. Career evidence includes Applied ML Engineer at Dream11 and Applied ML Engineer at Razorpay; not marked open to work, response rate 0.79, notice period 60 days."
CAND_0061339,82,397.42,"Search Engineer with 4.2 years in Chandigarh, Chandigarh; key relevant skills include Information Retrieval, Milvus, Vector Search, OpenSearch. Career evidence includes Search Engineer at Rephrase.ai and Senior Data Scientist at Zoho; open to work, response rate 0.90, notice period 90 days."
CAND_0078002,83,392.0,"Machine Learning Engineer with 6.3 years in Coimbatore, Tamil Nadu; key relevant skills include pgvector, NLP, Weaviate. Career evidence includes Machine Learning Engineer at Meta and Applied ML Engineer at Genpact AI; open to work, response rate 0.86, notice period 60 days."
CAND_0043228,84,391.92,"Applied ML Engineer with 6.8 years in Chennai, Tamil Nadu; key relevant skills include NLP, Vector Search, Sentence Transformers, Weaviate. Career evidence includes Applied ML Engineer at Zoho and Search Engineer at Yellow.ai; not marked open to work, response rate 0.41, notice period 30 days."
CAND_0099806,85,391.82,"AI Engineer with 4.6 years in Bhubaneswar, Odisha; key relevant skills include RAG, pgvector, FAISS, Embeddings. Career evidence includes AI Engineer at Mad Street Den and Machine Learning Engineer at upGrad; open to work, response rate 0.76, notice period 30 days."
CAND_0006418,86,389.78,"Machine Learning Engineer with 5.7 years in Gurgaon, Haryana; key relevant skills include Semantic Search, Embeddings, Weaviate, Elasticsearch. Career evidence includes Machine Learning Engineer at Verloop.io; open to work, response rate 0.92, notice period 60 days."
CAND_0020708,87,389.48,"Search Engineer with 4.2 years in Indore, Madhya Pradesh; key relevant skills include NLP, Learning to Rank, Python, Elasticsearch. Career evidence includes Search Engineer at PolicyBazaar; open to work, response rate 0.84, notice period 30 days."
CAND_0096142,88,389.38,"Applied ML Engineer with 5.0 years in Hyderabad, Telangana; key relevant skills include Weaviate, Pinecone, Python, RAG. Career evidence includes Applied ML Engineer at upGrad and Applied ML Engineer at BYJU'S; open to work, response rate 0.84, notice period 120 days."
CAND_0044222,89,388.54,"AI Engineer with 7.7 years in Vizag, Andhra Pradesh; key relevant skills include Vector Search, OpenSearch, Qdrant, Weaviate. Career evidence includes AI Engineer at PolicyBazaar and AI Engineer at InMobi; open to work, response rate 0.60, notice period 60 days."
CAND_0037944,90,388.12,"Senior Data Scientist with 4.9 years in Jaipur, Rajasthan; key relevant skills include Vector Search, OpenSearch, Embeddings, Python. Career evidence includes Senior Data Scientist at Vedantu; open to work, response rate 0.42, notice period 30 days."
CAND_0094759,91,387.68,"Lead AI Engineer with 8.6 years in Mumbai, Maharashtra; key relevant skills include Learning to Rank, Semantic Search, Qdrant, Fine-tuning LLMs. Career evidence includes Senior NLP Engineer at Apple; not marked open to work, response rate 0.11, notice period 30 days."
CAND_0040117,92,384.52,"Recommendation Systems Engineer with 6.5 years in Vizag, Andhra Pradesh; key relevant skills include Embeddings, RAG, FAISS, BM25. Career evidence includes Recommendation Systems Engineer at PhonePe; open to work, response rate 0.66, notice period 15 days."
CAND_0030031,93,383.66,"AI Engineer with 5.7 years in Trivandrum, Kerala; key relevant skills include Information Retrieval, Python, NLP, RAG. Career evidence includes AI Engineer at Microsoft and Search Engineer at Google; not marked open to work, response rate 0.94, notice period 30 days."
CAND_0047721,94,383.04,"Senior Data Scientist with 7.0 years in Coimbatore, Tamil Nadu; key relevant skills include Learning to Rank, Milvus, BM25, RAG. Career evidence includes Senior Data Scientist at Microsoft and NLP Engineer at Observe.AI; not marked open to work, response rate 0.49, notice period 90 days."
CAND_0054123,95,382.98,"Applied ML Engineer with 4.7 years in Gurgaon, Haryana; key relevant skills include pgvector, Python, Weaviate, Qdrant. Career evidence includes Applied ML Engineer at Meta and AI Engineer at CRED; not marked open to work, response rate 0.87, notice period 60 days."
CAND_0015528,96,382.04,"Applied ML Engineer with 7.4 years in Coimbatore, Tamil Nadu; key relevant skills include Weaviate, pgvector, Information Retrieval, OpenSearch. Career evidence includes Applied ML Engineer at Krutrim and Senior Data Scientist at Rephrase.ai; not marked open to work, response rate 0.53, notice period 30 days."
CAND_0027801,97,378.36,"NLP Engineer with 7.4 years in Hyderabad, Telangana; key relevant skills include FAISS, Milvus, OpenSearch, Vector Search. Career evidence includes Machine Learning Engineer at Zoho and Recommendation Systems Engineer at Uber; open to work, response rate 0.65, notice period 120 days."
CAND_0096172,98,375.84,"NLP Engineer with 5.2 years in Chennai, Tamil Nadu; key relevant skills include OpenSearch, Elasticsearch, Semantic Search, Python. Career evidence includes NLP Engineer at Krutrim and Machine Learning Engineer at Dream11; not marked open to work, response rate 0.47, notice period 45 days."
CAND_0061655,99,373.74,"Machine Learning Engineer with 4.6 years in Jaipur, Rajasthan; key relevant skills include Pinecone, Qdrant, NLP, BM25. Career evidence includes Machine Learning Engineer at Krutrim and Recommendation Systems Engineer at Google; not marked open to work, response rate 0.88, notice period 15 days."
CAND_0020350,100,373.06,"AI Engineer with 5.8 years in Jaipur, Rajasthan; key relevant skills include NLP, LLMs, FAISS, Fine-tuning LLMs. Career evidence is more adjacent than directly search/ranking focused; open to work, response rate 0.58, notice period 30 days."
